,instance_id,original_length,terminated_at_step,solved,tried,percentage
124,5124,23,23,1,1,0.0013245033112582781
125,5125,23,23,1,1,0.0013245033112582781
126,5126,23,12,0,1,0.0
127,5127,23,22,0,1,0.0
128,5128,23,23,1,1,0.0013245033112582781
129,5129,23,23,1,1,0.0013245033112582781
130,5130,23,23,1,1,0.0013245033112582781
131,5131,23,23,1,1,0.0013245033112582781
132,5132,23,23,1,1,0.0013245033112582781
133,5133,23,23,1,1,0.0013245033112582781
134,5134,23,23,1,1,0.0013245033112582781
135,5135,23,23,1,1,0.0013245033112582781
136,5136,23,20,0,1,0.0
137,5137,23,13,0,1,0.0
138,5138,23,23,1,1,0.0013245033112582781
139,5139,23,23,1,1,0.0013245033112582781
140,5140,23,23,1,1,0.0013245033112582781
141,5141,23,12,0,1,0.0
142,5142,23,21,0,1,0.0
143,5143,23,23,1,1,0.0013245033112582781
144,5144,23,23,1,1,0.0013245033112582781
145,5145,23,23,1,1,0.0013245033112582781
146,5146,23,12,0,1,0.0
147,5147,23,23,1,1,0.0013245033112582781
148,5148,23,23,1,1,0.0013245033112582781
149,5149,23,23,1,1,0.0013245033112582781
150,5150,23,23,1,1,0.0013245033112582781
151,5151,23,23,1,1,0.0013245033112582781
152,5152,23,23,1,1,0.0013245033112582781
153,5153,23,23,1,1,0.0013245033112582781
154,5154,23,23,1,1,0.0013245033112582781
155,5155,23,23,1,1,0.0013245033112582781
156,5156,23,23,1,1,0.0013245033112582781
157,5157,23,23,1,1,0.0013245033112582781
158,5158,23,11,0,1,0.0
159,5159,23,23,1,1,0.0013245033112582781
160,5160,23,23,1,1,0.0013245033112582781
161,5161,23,23,1,1,0.0013245033112582781
162,5162,23,23,1,1,0.0013245033112582781
163,5163,23,23,1,1,0.0013245033112582781
164,5164,23,23,1,1,0.0013245033112582781
165,5165,23,23,1,1,0.0013245033112582781
166,5166,23,23,1,1,0.0013245033112582781
167,5167,23,23,1,1,0.0013245033112582781
168,5168,23,23,1,1,0.0013245033112582781
169,5169,23,23,1,1,0.0013245033112582781
170,5170,23,23,1,1,0.0013245033112582781
171,5171,23,23,1,1,0.0013245033112582781
172,5172,23,23,1,1,0.0013245033112582781
173,5173,23,23,1,1,0.0013245033112582781
174,5174,23,23,1,1,0.0013245033112582781
175,5175,23,23,1,1,0.0013245033112582781
176,5176,23,23,1,1,0.0013245033112582781
177,5177,23,23,1,1,0.0013245033112582781
178,5178,23,22,0,1,0.0
179,5179,23,23,1,1,0.0013245033112582781
180,5180,23,23,1,1,0.0013245033112582781
181,5181,23,23,1,1,0.0013245033112582781
182,5182,23,23,1,1,0.0013245033112582781
183,5183,23,23,1,1,0.0013245033112582781
184,5184,23,23,1,1,0.0013245033112582781
185,5185,23,23,1,1,0.0013245033112582781
186,5186,23,23,1,1,0.0013245033112582781
187,5187,23,23,1,1,0.0013245033112582781
188,5188,23,23,1,1,0.0013245033112582781
189,5189,23,23,1,1,0.0013245033112582781
190,5190,23,23,1,1,0.0013245033112582781
191,5191,23,23,1,1,0.0013245033112582781
192,5192,23,23,1,1,0.0013245033112582781
193,5193,23,23,1,1,0.0013245033112582781
194,5194,23,23,1,1,0.0013245033112582781
195,5195,23,23,1,1,0.0013245033112582781
196,5196,23,21,0,1,0.0
197,5197,23,19,0,1,0.0
198,5198,23,23,1,1,0.0013245033112582781
199,5199,23,23,1,1,0.0013245033112582781
200,5200,23,23,1,1,0.0013245033112582781
201,5201,23,13,0,1,0.0
202,5202,23,23,1,1,0.0013245033112582781
203,5203,23,23,1,1,0.0013245033112582781
204,5204,23,23,1,1,0.0013245033112582781
205,5205,23,23,1,1,0.0013245033112582781
206,5206,23,23,1,1,0.0013245033112582781
207,5207,23,23,1,1,0.0013245033112582781
208,5208,23,23,1,1,0.0013245033112582781
209,5209,23,23,1,1,0.0013245033112582781
210,5210,23,23,1,1,0.0013245033112582781
211,5211,23,23,1,1,0.0013245033112582781
212,5212,23,23,1,1,0.0013245033112582781
213,5213,23,23,1,1,0.0013245033112582781
214,5214,23,23,1,1,0.0013245033112582781
215,5215,23,23,1,1,0.0013245033112582781
216,5216,23,18,0,1,0.0
217,5217,23,13,0,1,0.0
218,5218,23,23,1,1,0.0013245033112582781
219,5219,23,23,1,1,0.0013245033112582781
220,5220,23,23,1,1,0.0013245033112582781
221,5221,23,23,1,1,0.0013245033112582781
222,5222,23,23,1,1,0.0013245033112582781
223,5223,23,23,1,1,0.0013245033112582781
224,5224,23,23,1,1,0.0013245033112582781
225,5225,23,23,1,1,0.0013245033112582781
226,5226,23,23,1,1,0.0013245033112582781
227,5227,23,20,0,1,0.0
228,5228,23,23,1,1,0.0013245033112582781
229,5229,23,12,0,1,0.0
230,5230,23,11,0,1,0.0
231,5231,23,23,1,1,0.0013245033112582781
232,5232,23,23,1,1,0.0013245033112582781
233,5233,23,23,1,1,0.0013245033112582781
234,5234,23,23,1,1,0.0013245033112582781
235,5235,23,23,1,1,0.0013245033112582781
236,5236,23,23,1,1,0.0013245033112582781
237,5237,23,23,1,1,0.0013245033112582781
238,5238,23,23,1,1,0.0013245033112582781
239,5239,23,23,1,1,0.0013245033112582781
240,5240,23,23,1,1,0.0013245033112582781
241,5241,23,16,0,1,0.0
242,5242,23,23,1,1,0.0013245033112582781
243,5243,23,23,1,1,0.0013245033112582781
244,5244,23,23,1,1,0.0013245033112582781
245,5245,23,23,1,1,0.0013245033112582781
246,5246,23,23,1,1,0.0013245033112582781
247,5247,23,23,1,1,0.0013245033112582781
