,instance_id,original_length,terminated_at_step,solved,tried,percentage
142,5142,23,21,0,1,0.0
143,5143,23,12,0,1,0.0
144,5144,23,14,0,1,0.0
145,5145,23,17,0,1,0.0
146,5146,23,12,0,1,0.0
147,5147,23,23,1,1,0.0013245033112582781
148,5148,23,23,1,1,0.0013245033112582781
149,5149,23,23,1,1,0.0013245033112582781
150,5150,23,15,0,1,0.0
151,5151,23,14,0,1,0.0
152,5152,23,23,1,1,0.0013245033112582781
153,5153,23,18,0,1,0.0
154,5154,23,23,1,1,0.0013245033112582781
155,5155,23,23,1,1,0.0013245033112582781
156,5156,23,23,1,1,0.0013245033112582781
157,5157,23,23,1,1,0.0013245033112582781
158,5158,23,11,0,1,0.0
159,5159,23,23,1,1,0.0013245033112582781
160,5160,23,20,0,1,0.0
161,5161,23,23,1,1,0.0013245033112582781
162,5162,23,23,1,1,0.0013245033112582781
163,5163,23,16,0,1,0.0
164,5164,23,23,1,1,0.0013245033112582781
165,5165,23,16,0,1,0.0
166,5166,23,23,1,1,0.0013245033112582781
167,5167,23,18,0,1,0.0
168,5168,23,21,0,1,0.0
169,5169,23,23,1,1,0.0013245033112582781
170,5170,23,23,1,1,0.0013245033112582781
171,5171,23,15,0,1,0.0
172,5172,23,23,1,1,0.0013245033112582781
173,5173,23,21,0,1,0.0
174,5174,23,23,1,1,0.0013245033112582781
175,5175,23,23,1,1,0.0013245033112582781
176,5176,23,23,1,1,0.0013245033112582781
177,5177,23,23,1,1,0.0013245033112582781
178,5178,23,23,1,1,0.0013245033112582781
179,5179,23,23,1,1,0.0013245033112582781
180,5180,23,23,1,1,0.0013245033112582781
181,5181,23,17,0,1,0.0
182,5182,23,23,1,1,0.0013245033112582781
183,5183,23,19,0,1,0.0
184,5184,23,23,1,1,0.0013245033112582781
185,5185,23,23,1,1,0.0013245033112582781
186,5186,23,23,1,1,0.0013245033112582781
187,5187,23,22,0,1,0.0
188,5188,23,23,1,1,0.0013245033112582781
189,5189,23,23,1,1,0.0013245033112582781
190,5190,23,23,1,1,0.0013245033112582781
191,5191,23,23,1,1,0.0013245033112582781
192,5192,23,21,0,1,0.0
193,5193,23,23,1,1,0.0013245033112582781
194,5194,23,23,1,1,0.0013245033112582781
195,5195,23,14,0,1,0.0
196,5196,23,17,0,1,0.0
197,5197,23,15,0,1,0.0
198,5198,23,23,1,1,0.0013245033112582781
199,5199,23,23,1,1,0.0013245033112582781
200,5200,23,21,0,1,0.0
201,5201,23,13,0,1,0.0
202,5202,23,23,1,1,0.0013245033112582781
203,5203,23,14,0,1,0.0
204,5204,23,14,0,1,0.0
205,5205,23,23,1,1,0.0013245033112582781
206,5206,23,14,0,1,0.0
207,5207,23,22,0,1,0.0
208,5208,23,21,0,1,0.0
209,5209,23,15,0,1,0.0
210,5210,23,23,1,1,0.0013245033112582781
211,5211,23,23,1,1,0.0013245033112582781
212,5212,23,21,0,1,0.0
213,5213,23,17,0,1,0.0
214,5214,23,23,1,1,0.0013245033112582781
215,5215,23,23,1,1,0.0013245033112582781
216,5216,23,18,0,1,0.0
217,5217,23,13,0,1,0.0
218,5218,23,23,1,1,0.0013245033112582781
219,5219,23,21,0,1,0.0
220,5220,23,21,0,1,0.0
221,5221,23,23,1,1,0.0013245033112582781
222,5222,23,14,0,1,0.0
