,action,instance_id,step,type,strtype
0,9,5000,0,['14'],['14']
1,5,5000,1,['16'],['16']
2,9,5000,2,['24'],['24']
3,8,5000,3,"['24', '24']","['24', '24']"
4,1,5000,4,"['24', '24']","['24', '24']"
5,9,5000,5,"['14', '14']","['14', '14']"
6,6,5000,6,"['24', '26']","['24', '26']"
7,7,5000,7,"['16', '14']","['16', '14']"
8,3,5000,8,['26'],['26']
9,2,5001,0,['26'],['26']
10,5,5001,1,['16'],['16']
11,8,5001,2,"['24', '24']","['24', '24']"
12,7,5001,3,"['16', '14']","['16', '14']"
13,9,5001,4,['24'],['24']
14,1,5001,5,"['24', '24']","['24', '24']"
15,6,5001,6,"['24', '26']","['24', '26']"
16,4,5001,7,"['14', '14']","['14', '14']"
17,9,5001,8,['14'],['14']
18,3,5002,0,['26'],['26']
19,9,5002,1,"['14', '14']","['14', '14']"
20,5,5002,2,['16'],['16']
21,8,5002,3,"['24', '24']","['24', '24']"
22,7,5002,4,"['14', '16']","['14', '16']"
23,4,5002,5,['14'],['14']
24,1,5002,6,"['24', '24']","['24', '24']"
25,6,5002,7,"['26', '24']","['26', '24']"
26,4,5002,8,['24'],['24']
27,9,5003,0,['24'],['24']
28,9,5003,1,"['14', '14']","['14', '14']"
29,8,5003,2,"['24', '24']","['24', '24']"
30,1,5003,3,"['24', '24']","['24', '24']"
31,6,5003,4,"['24', '26']","['24', '26']"
32,4,5003,5,['14'],['14']
33,3,5003,6,['16'],['16']
34,2,5003,7,['26'],['26']
35,7,5003,8,"['16', '14']","['16', '14']"
36,1,5004,0,"['14', '16']","['14', '16']"
37,8,5004,1,"['24', '24']","['24', '24']"
38,3,5004,2,['16'],['16']
39,2,5004,3,['26'],['26']
40,4,5004,4,"['24', '24']","['24', '24']"
41,6,5004,5,"['24', '26']","['24', '26']"
42,7,5004,6,['24'],['24']
43,7,5004,7,['14'],['14']
44,9,5004,8,"['14', '14']","['14', '14']"
45,9,5005,0,"['14', '14']","['14', '14']"
46,1,5005,1,"['24', '24']","['24', '24']"
47,8,5005,2,['24'],['24']
48,8,5005,3,"['24', '24']","['24', '24']"
49,7,5005,4,"['14', '16']","['14', '16']"
50,4,5005,5,['14'],['14']
51,5,5005,6,['16'],['16']
52,3,5005,7,['26'],['26']
53,6,5005,8,"['24', '26']","['24', '26']"
54,6,5006,0,"['24', '26']","['24', '26']"
55,4,5006,1,"['14', '14']","['14', '14']"
56,1,5006,2,"['24', '24']","['24', '24']"
57,3,5006,3,['26'],['26']
58,5,5006,4,['16'],['16']
59,8,5006,5,['24'],['24']
60,9,5006,6,['14'],['14']
61,8,5006,7,"['24', '24']","['24', '24']"
62,7,5006,8,"['16', '14']","['16', '14']"
63,8,5007,0,['24'],['24']
64,7,5007,1,"['16', '14']","['16', '14']"
65,9,5007,2,['14'],['14']
66,6,5007,3,"['24', '26']","['24', '26']"
67,2,5007,4,['26'],['26']
68,4,5007,5,"['14', '14']","['14', '14']"
69,1,5007,6,"['24', '24']","['24', '24']"
70,5,5007,7,['16'],['16']
71,8,5007,8,"['24', '24']","['24', '24']"
72,4,5008,0,"['24', '24']","['24', '24']"
73,9,5008,1,"['14', '14']","['14', '14']"
74,9,5008,2,['14'],['14']
75,1,5008,3,['24'],['24']
76,5,5008,4,['16'],['16']
77,3,5008,5,['26'],['26']
78,7,5008,6,"['16', '14']","['16', '14']"
79,8,5008,7,"['24', '24']","['24', '24']"
80,6,5008,8,"['24', '26']","['24', '26']"
81,8,5009,0,"['24', '24']","['24', '24']"
82,9,5009,1,"['14', '14']","['14', '14']"
83,7,5009,2,"['14', '16']","['14', '16']"
84,1,5009,3,['24'],['24']
85,4,5009,4,['14'],['14']
86,5,5009,5,['16'],['16']
87,6,5009,6,"['24', '26']","['24', '26']"
88,3,5009,7,['26'],['26']
89,8,5009,8,"['24', '24']","['24', '24']"
90,5,5010,0,['16'],['16']
91,2,5010,1,['26'],['26']
92,4,5010,2,"['24', '24']","['24', '24']"
93,1,5010,3,"['24', '24']","['24', '24']"
94,7,5010,4,"['16', '14']","['16', '14']"
95,6,5010,5,"['24', '26']","['24', '26']"
96,9,5010,6,['14'],['14']
97,8,5010,7,['24'],['24']
98,9,5010,8,"['14', '14']","['14', '14']"
99,6,5011,0,"['24', '26']","['24', '26']"
100,5,5011,1,['16'],['16']
101,7,5011,2,"['14', '16']","['14', '16']"
102,8,5011,3,"['24', '24']","['24', '24']"
103,9,5011,4,"['14', '14']","['14', '14']"
104,3,5011,5,['26'],['26']
105,4,5011,6,['24'],['24']
106,1,5011,7,"['24', '24']","['24', '24']"
107,4,5011,8,['14'],['14']
108,8,5012,0,['24'],['24']
109,2,5012,1,['26'],['26']
110,9,5012,2,"['14', '14']","['14', '14']"
111,6,5012,3,"['24', '26']","['24', '26']"
112,5,5012,4,['16'],['16']
113,7,5012,5,"['14', '16']","['14', '16']"
114,8,5012,6,"['24', '24']","['24', '24']"
115,9,5012,7,['14'],['14']
116,1,5012,8,"['24', '24']","['24', '24']"
117,8,5013,0,"['24', '24']","['24', '24']"
118,2,5013,1,['26'],['26']
119,1,5013,2,"['24', '24']","['24', '24']"
120,4,5013,3,['14'],['14']
121,5,5013,4,['16'],['16']
122,7,5013,5,"['14', '16']","['14', '16']"
123,6,5013,6,"['26', '24']","['26', '24']"
124,4,5013,7,['24'],['24']
125,9,5013,8,"['14', '14']","['14', '14']"
126,8,5014,0,"['24', '24']","['24', '24']"
127,8,5014,1,['24'],['24']
128,5,5014,2,['16'],['16']
129,9,5014,3,"['14', '14']","['14', '14']"
130,6,5014,4,"['24', '26']","['24', '26']"
131,4,5014,5,"['24', '24']","['24', '24']"
132,3,5014,6,['26'],['26']
133,9,5014,7,['14'],['14']
134,7,5014,8,"['16', '14']","['16', '14']"
135,2,5015,0,['26'],['26']
136,7,5015,1,"['16', '14']","['16', '14']"
137,8,5015,2,['24'],['24']
138,5,5015,3,['16'],['16']
139,9,5015,4,['14'],['14']
140,4,5015,5,"['24', '24']","['24', '24']"
141,1,5015,6,"['24', '24']","['24', '24']"
142,9,5015,7,"['14', '14']","['14', '14']"
143,6,5015,8,"['24', '26']","['24', '26']"
144,8,5016,0,"['26', '24']","['26', '24']"
145,4,5016,1,"['24', '24']","['24', '24']"
146,3,5016,2,['26'],['26']
147,9,5016,3,['24'],['24']
148,9,5016,4,['14'],['14']
149,7,5016,5,"['16', '14']","['16', '14']"
150,6,5016,6,"['24', '24']","['24', '24']"
151,9,5016,7,"['14', '14']","['14', '14']"
152,1,5016,8,['16'],['16']
153,6,5017,0,"['24', '26']","['24', '26']"
154,9,5017,1,"['14', '14']","['14', '14']"
155,8,5017,2,"['24', '24']","['24', '24']"
156,5,5017,3,['16'],['16']
157,2,5017,4,['26'],['26']
158,4,5017,5,"['24', '24']","['24', '24']"
159,1,5017,6,"['14', '16']","['14', '16']"
160,7,5017,7,['14'],['14']
161,8,5017,8,['24'],['24']
162,5,5018,0,['16'],['16']
163,7,5018,1,"['16', '14']","['16', '14']"
164,9,5018,2,"['14', '14']","['14', '14']"
165,1,5018,3,['24'],['24']
166,8,5018,4,"['24', '24']","['24', '24']"
167,4,5018,5,"['24', '24']","['24', '24']"
168,1,5018,6,['14'],['14']
169,3,5018,7,['26'],['26']
170,6,5018,8,"['26', '24']","['26', '24']"
171,4,5019,0,['14'],['14']
172,7,5019,1,"['16', '14']","['16', '14']"
173,6,5019,2,"['26', '24']","['26', '24']"
174,4,5019,3,['24'],['24']
175,1,5019,4,"['24', '24']","['24', '24']"
176,2,5019,5,['26'],['26']
177,5,5019,6,['16'],['16']
178,8,5019,7,"['24', '24']","['24', '24']"
179,9,5019,8,"['14', '14']","['14', '14']"
180,6,5020,0,"['26', '24']","['26', '24']"
181,5,5020,1,['16'],['16']
182,9,5020,2,['14'],['14']
183,4,5020,3,"['24', '24']","['24', '24']"
184,8,5020,4,['24'],['24']
185,1,5020,5,"['14', '14']","['14', '14']"
186,8,5020,6,"['24', '24']","['24', '24']"
187,3,5020,7,['26'],['26']
188,7,5020,8,"['16', '14']","['16', '14']"
189,3,5021,0,['26'],['26']
190,5,5021,1,['16'],['16']
191,1,5021,2,"['24', '24']","['24', '24']"
192,4,5021,3,['14'],['14']
193,9,5021,4,"['14', '14']","['14', '14']"
194,6,5021,5,"['26', '24']","['26', '24']"
195,7,5021,6,"['14', '16']","['14', '16']"
196,4,5021,7,['24'],['24']
197,8,5021,8,"['24', '24']","['24', '24']"
198,6,5022,0,"['24', '26']","['24', '26']"
199,3,5022,1,['26'],['26']
200,1,5022,2,"['14', '14']","['14', '14']"
201,8,5022,3,['24'],['24']
202,4,5022,4,"['24', '24']","['24', '24']"
203,8,5022,5,"['24', '24']","['24', '24']"
204,5,5022,6,['16'],['16']
205,7,5022,7,"['14', '16']","['14', '16']"
206,7,5022,8,['14'],['14']
207,2,5023,0,['26'],['26']
208,8,5023,1,"['24', '24']","['24', '24']"
209,5,5023,2,['16'],['16']
210,7,5023,3,"['14', '16']","['14', '16']"
211,9,5023,4,['24'],['24']
212,6,5023,5,"['24', '26']","['24', '26']"
213,8,5023,6,"['24', '24']","['24', '24']"
214,9,5023,7,"['14', '14']","['14', '14']"
215,4,5023,8,['14'],['14']
216,7,5024,0,"['14', '16']","['14', '16']"
217,5,5024,1,['16'],['16']
218,6,5024,2,"['24', '26']","['24', '26']"
219,9,5024,3,"['14', '14']","['14', '14']"
220,8,5024,4,"['24', '24']","['24', '24']"
221,8,5024,5,['24'],['24']
222,4,5024,6,['14'],['14']
223,3,5024,7,['26'],['26']
224,1,5024,8,"['24', '24']","['24', '24']"
225,8,5025,0,"['24', '24']","['24', '24']"
226,4,5025,1,['24'],['24']
227,5,5025,2,"['24', '24']","['24', '24']"
228,9,5025,3,"['14', '14']","['14', '14']"
229,3,5025,4,['26'],['26']
230,1,5025,5,"['14', '16']","['14', '16']"
231,6,5025,6,"['26', '24']","['26', '24']"
232,7,5025,7,['16'],['16']
233,9,5025,8,['14'],['14']
234,6,5026,0,"['24', '26']","['24', '26']"
235,8,5026,1,['24'],['24']
236,9,5026,2,['14'],['14']
237,9,5026,3,"['14', '14']","['14', '14']"
238,5,5026,4,['16'],['16']
239,2,5026,5,['26'],['26']
240,1,5026,6,"['24', '24']","['24', '24']"
241,7,5026,7,"['14', '16']","['14', '16']"
242,4,5026,8,"['24', '24']","['24', '24']"
243,9,5027,0,['14'],['14']
244,4,5027,1,"['14', '14']","['14', '14']"
245,7,5027,2,"['16', '14']","['16', '14']"
246,6,5027,3,"['24', '26']","['24', '26']"
247,8,5027,4,"['24', '24']","['24', '24']"
248,1,5027,5,"['24', '24']","['24', '24']"
249,5,5027,6,['16'],['16']
250,3,5027,7,['26'],['26']
251,2,5027,8,['24'],['24']
252,7,5028,0,"['14', '16']","['14', '16']"
253,9,5028,1,['14'],['14']
254,8,5028,2,"['24', '24']","['24', '24']"
255,2,5028,3,['26'],['26']
256,6,5028,4,"['26', '24']","['26', '24']"
257,4,5028,5,"['24', '24']","['24', '24']"
258,5,5028,6,['16'],['16']
259,9,5028,7,"['14', '14']","['14', '14']"
260,1,5028,8,['24'],['24']
261,4,5029,0,"['24', '24']","['24', '24']"
262,9,5029,1,"['14', '14']","['14', '14']"
263,1,5029,2,"['24', '24']","['24', '24']"
264,7,5029,3,"['16', '14']","['16', '14']"
265,5,5029,4,['26'],['26']
266,8,5029,5,"['24', '26']","['24', '26']"
267,2,5029,6,['24'],['24']
268,3,5029,7,['16'],['16']
269,9,5029,8,['14'],['14']
270,5,5030,0,['16'],['16']
271,9,5030,1,"['14', '14']","['14', '14']"
272,7,5030,2,"['14', '16']","['14', '16']"
273,3,5030,3,['26'],['26']
274,1,5030,4,"['24', '24']","['24', '24']"
275,4,5030,5,['14'],['14']
276,8,5030,6,"['24', '24']","['24', '24']"
277,4,5030,7,['24'],['24']
278,6,5030,8,"['26', '24']","['26', '24']"
279,9,5031,0,"['14', '14']","['14', '14']"
280,7,5031,1,"['16', '14']","['16', '14']"
281,5,5031,2,['26'],['26']
282,6,5031,3,"['24', '26']","['24', '26']"
283,2,5031,4,['24'],['24']
284,4,5031,5,"['24', '24']","['24', '24']"
285,3,5031,6,['16'],['16']
286,9,5031,7,['14'],['14']
287,1,5031,8,"['24', '24']","['24', '24']"
288,8,5032,0,['24'],['24']
289,5,5032,1,['16'],['16']
290,9,5032,2,"['14', '14']","['14', '14']"
291,8,5032,3,"['24', '24']","['24', '24']"
292,1,5032,4,"['24', '24']","['24', '24']"
293,4,5032,5,['14'],['14']
294,7,5032,6,"['14', '16']","['14', '16']"
295,6,5032,7,"['26', '24']","['26', '24']"
296,3,5032,8,['26'],['26']
297,8,5033,0,"['24', '24']","['24', '24']"
298,9,5033,1,['14'],['14']
299,9,5033,2,"['14', '14']","['14', '14']"
300,7,5033,3,"['14', '16']","['14', '16']"
301,5,5033,4,['16'],['16']
302,6,5033,5,"['26', '24']","['26', '24']"
303,4,5033,6,"['24', '24']","['24', '24']"
304,8,5033,7,['24'],['24']
305,2,5033,8,['26'],['26']
306,7,5034,0,"['16', '14']","['16', '14']"
307,6,5034,1,"['24', '26']","['24', '26']"
308,9,5034,2,['14'],['14']
309,8,5034,3,"['24', '24']","['24', '24']"
310,9,5034,4,"['14', '14']","['14', '14']"
311,1,5034,5,"['24', '24']","['24', '24']"
312,3,5034,6,['26'],['26']
313,4,5034,7,['24'],['24']
314,5,5034,8,['16'],['16']
315,8,5035,0,"['24', '24']","['24', '24']"
316,7,5035,1,"['14', '16']","['14', '16']"
317,1,5035,2,"['24', '24']","['24', '24']"
318,2,5035,3,['26'],['26']
319,5,5035,4,['16'],['16']
