,action,instance_id,step,type,strtype
130,5,4014,4,"['24', '24']","['24', '24']"
131,8,4014,5,"['24', '26']","['24', '26']"
132,7,4014,6,"['24', '24']","['24', '24']"
133,8,4014,7,['26'],['26']
134,1,4014,8,"['14', '16']","['14', '16']"
135,5,4015,0,"['24', '24']","['24', '24']"
136,7,4015,1,"['24', '24']","['24', '24']"
137,3,4015,2,['16'],['16']
138,7,4015,3,['24'],['24']
139,2,4015,4,['26'],['26']
140,8,4015,5,"['26', '24']","['26', '24']"
141,4,4015,6,"['14', '14']","['14', '14']"
142,1,4015,7,"['14', '16']","['14', '16']"
143,6,4015,8,['14'],['14']
144,8,4016,0,"['26', '24']","['26', '24']"
145,7,4016,1,['24'],['24']
146,2,4016,2,['26'],['26']
147,1,4016,3,"['16', '14']","['16', '14']"
148,6,4016,4,['14'],['14']
149,4,4016,5,"['24', '24']","['24', '24']"
150,3,4016,6,['16'],['16']
151,5,4016,7,"['24', '24']","['24', '24']"
152,6,4016,8,"['14', '14']","['14', '14']"
153,5,4017,0,"['24', '24']","['24', '24']"
154,2,4017,1,['26'],['26']
155,3,4017,2,['16'],['16']
156,7,4017,3,['24'],['24']
157,1,4017,4,"['16', '14']","['16', '14']"
158,8,4017,5,"['26', '24']","['26', '24']"
159,4,4017,6,"['24', '24']","['24', '24']"
160,6,4017,7,['14'],['14']
161,6,4017,8,"['14', '14']","['14', '14']"
162,7,4018,0,['24'],['24']
163,8,4018,1,"['24', '26']","['24', '26']"
164,2,4018,2,['26'],['26']
165,3,4018,3,['16'],['16']
166,4,4018,4,"['24', '24']","['24', '24']"
167,5,4018,5,"['24', '24']","['24', '24']"
168,6,4018,6,"['14', '14']","['14', '14']"
169,6,4018,7,['14'],['14']
170,1,4018,8,"['16', '14']","['16', '14']"
171,6,4019,0,['14'],['14']
172,8,4019,1,"['24', '26']","['24', '26']"
173,5,4019,2,"['24', '24']","['24', '24']"
174,7,4019,3,"['24', '24']","['24', '24']"
175,1,4019,4,"['14', '16']","['14', '16']"
176,8,4019,5,['26'],['26']
177,3,4019,6,['16'],['16']
178,7,4019,7,['24'],['24']
179,4,4019,8,"['14', '14']","['14', '14']"
180,7,4020,0,['24'],['24']
181,8,4020,1,"['26', '24']","['26', '24']"
182,8,4020,2,['26'],['26']
183,7,4020,3,"['24', '24']","['24', '24']"
184,5,4020,4,"['24', '24']","['24', '24']"
185,4,4020,5,"['14', '14']","['14', '14']"
186,6,4020,6,['14'],['14']
187,1,4020,7,"['16', '14']","['16', '14']"
188,3,4020,8,['16'],['16']
189,6,4021,0,['14'],['14']
190,3,4021,1,['16'],['16']
191,8,4021,2,"['24', '26']","['24', '26']"
192,1,4021,3,"['16', '14']","['16', '14']"
