,action,instance_id,step,type,strtype
0,7,4000,0,"['24', '24']","['24', '24']"
1,8,4000,1,"['24', '26']","['24', '26']"
2,6,4000,2,"['14', '14']","['14', '14']"
3,1,4000,3,"['16', '14']","['16', '14']"
4,7,4000,4,['24'],['24']
5,4,4000,5,['14'],['14']
6,5,4000,6,"['24', '24']","['24', '24']"
7,8,4000,7,['26'],['26']
8,2,4000,8,['16'],['16']
9,1,4001,0,"['16', '14']","['16', '14']"
10,2,4001,1,['26'],['26']
11,8,4001,2,"['26', '24']","['26', '24']"
12,5,4001,3,"['14', '14']","['14', '14']"
13,3,4001,4,['16'],['16']
14,7,4001,5,['24'],['24']
15,7,4001,6,"['24', '24']","['24', '24']"
16,4,4001,7,['14'],['14']
17,6,4001,8,"['24', '24']","['24', '24']"
18,5,4002,0,"['14', '14']","['14', '14']"
19,1,4002,1,"['14', '16']","['14', '16']"
20,3,4002,2,['26'],['26']
21,8,4002,3,"['26', '24']","['26', '24']"
22,7,4002,4,"['24', '24']","['24', '24']"
23,6,4002,5,['14'],['14']
24,2,4002,6,['16'],['16']
25,7,4002,7,['24'],['24']
26,4,4002,8,"['24', '24']","['24', '24']"
27,6,4003,0,"['14', '14']","['14', '14']"
28,7,4003,1,"['24', '24']","['24', '24']"
29,1,4003,2,"['14', '16']","['14', '16']"
30,3,4003,3,['26'],['26']
31,5,4003,4,"['24', '24']","['24', '24']"
32,2,4003,5,['16'],['16']
33,4,4003,6,['14'],['14']
34,7,4003,7,['24'],['24']
35,8,4003,8,"['26', '24']","['26', '24']"
36,1,4004,0,"['14', '16']","['14', '16']"
37,4,4004,1,"['14', '14']","['14', '14']"
38,7,4004,2,"['24', '24']","['24', '24']"
39,5,4004,3,"['24', '24']","['24', '24']"
40,3,4004,4,['16'],['16']
41,6,4004,5,['14'],['14']
42,2,4004,6,['26'],['26']
43,8,4004,7,"['26', '24']","['26', '24']"
44,7,4004,8,['24'],['24']
45,1,4005,0,"['16', '14']","['16', '14']"
46,4,4005,1,"['14', '14']","['14', '14']"
47,7,4005,2,"['24', '24']","['24', '24']"
48,5,4005,3,"['24', '24']","['24', '24']"
49,3,4005,4,['16'],['16']
50,7,4005,5,['14'],['14']
51,2,4005,6,['26'],['26']
52,8,4005,7,"['26', '24']","['26', '24']"
53,6,4005,8,['24'],['24']
54,6,4006,0,"['14', '14']","['14', '14']"
55,2,4006,1,['26'],['26']
56,5,4006,2,['14'],['14']
57,7,4006,3,"['24', '24']","['24', '24']"
58,3,4006,4,['16'],['16']
59,7,4006,5,['24'],['24']
60,8,4006,6,"['26', '24']","['26', '24']"
61,1,4006,7,"['14', '16']","['14', '16']"
62,4,4006,8,"['24', '24']","['24', '24']"
63,8,4007,0,"['24', '26']","['24', '26']"
64,3,4007,1,['16'],['16']
65,8,4007,2,['26'],['26']
66,4,4007,3,['14'],['14']
67,7,4007,4,"['24', '24']","['24', '24']"
68,5,4007,5,"['24', '24']","['24', '24']"
69,6,4007,6,"['14', '14']","['14', '14']"
70,1,4007,7,"['14', '16']","['14', '16']"
71,7,4007,8,['24'],['24']
72,6,4008,0,"['14', '14']","['14', '14']"
73,3,4008,1,['16'],['16']
74,1,4008,2,"['16', '14']","['16', '14']"
75,7,4008,3,['24'],['24']
76,2,4008,4,['26'],['26']
77,7,4008,5,"['24', '24']","['24', '24']"
78,4,4008,6,['14'],['14']
79,8,4008,7,"['26', '24']","['26', '24']"
80,5,4008,8,"['24', '24']","['24', '24']"
81,7,4009,0,"['24', '24']","['24', '24']"
82,6,4009,1,"['14', '14']","['14', '14']"
83,5,4009,2,['14'],['14']
84,3,4009,3,['16'],['16']
85,5,4009,4,"['24', '24']","['24', '24']"
86,7,4009,5,['24'],['24']
87,8,4009,6,"['24', '26']","['24', '26']"
88,2,4009,7,['26'],['26']
89,1,4009,8,"['14', '16']","['14', '16']"
90,7,4010,0,['24'],['24']
91,5,4010,1,['14'],['14']
92,3,4010,2,['16'],['16']
93,6,4010,3,"['14', '14']","['14', '14']"
94,8,4010,4,"['24', '26']","['24', '26']"
95,1,4010,5,"['16', '14']","['16', '14']"
96,8,4010,6,['26'],['26']
97,4,4010,7,"['24', '24']","['24', '24']"
98,5,4010,8,"['24', '24']","['24', '24']"
99,3,4011,0,['16'],['16']
100,7,4011,1,"['24', '24']","['24', '24']"
101,2,4011,2,['26'],['26']
102,7,4011,3,['24'],['24']
103,6,4011,4,['14'],['14']
104,8,4011,5,"['24', '26']","['24', '26']"
105,1,4011,6,"['16', '14']","['16', '14']"
106,4,4011,7,"['14', '14']","['14', '14']"
107,5,4011,8,"['24', '24']","['24', '24']"
108,7,4012,0,"['24', '24']","['24', '24']"
109,5,4012,1,['14'],['14']
110,1,4012,2,"['14', '16']","['14', '16']"
111,3,4012,3,['26'],['26']
112,2,4012,4,['16'],['16']
113,5,4012,5,"['24', '24']","['24', '24']"
114,7,4012,6,['24'],['24']
115,4,4012,7,"['14', '14']","['14', '14']"
116,8,4012,8,"['26', '24']","['26', '24']"
117,6,4013,0,"['14', '14']","['14', '14']"
118,7,4013,1,['24'],['24']
119,7,4013,2,"['24', '24']","['24', '24']"
120,4,4013,3,['14'],['14']
121,1,4013,4,"['16', '14']","['16', '14']"
122,8,4013,5,"['24', '26']","['24', '26']"
123,3,4013,6,['26'],['26']
124,2,4013,7,['16'],['16']
125,5,4013,8,"['24', '24']","['24', '24']"
126,6,4014,0,['14'],['14']
127,6,4014,1,"['14', '14']","['14', '14']"
128,3,4014,2,['16'],['16']
129,7,4014,3,['24'],['24']
130,7,4014,4,"['24', '24']","['24', '24']"
131,8,4014,5,"['24', '26']","['24', '26']"
132,5,4014,6,"['24', '24']","['24', '24']"
133,8,4014,7,['26'],['26']
134,1,4014,8,"['14', '16']","['14', '16']"
135,7,4015,0,"['24', '24']","['24', '24']"
136,6,4015,1,"['24', '24']","['24', '24']"
137,2,4015,2,['16'],['16']
138,7,4015,3,['24'],['24']
139,3,4015,4,['26'],['26']
140,8,4015,5,"['26', '24']","['26', '24']"
141,5,4015,6,"['14', '14']","['14', '14']"
142,1,4015,7,"['14', '16']","['14', '16']"
143,4,4015,8,['14'],['14']
144,8,4016,0,"['26', '24']","['26', '24']"
145,7,4016,1,['24'],['24']
146,8,4016,2,['26'],['26']
147,1,4016,3,"['16', '14']","['16', '14']"
148,4,4016,4,['14'],['14']
149,5,4016,5,"['24', '24']","['24', '24']"
150,3,4016,6,['16'],['16']
151,7,4016,7,"['24', '24']","['24', '24']"
152,6,4016,8,"['14', '14']","['14', '14']"
153,7,4017,0,"['24', '24']","['24', '24']"
154,2,4017,1,['26'],['26']
155,3,4017,2,['16'],['16']
156,7,4017,3,['24'],['24']
157,1,4017,4,"['16', '14']","['16', '14']"
158,8,4017,5,"['26', '24']","['26', '24']"
159,5,4017,6,"['24', '24']","['24', '24']"
160,6,4017,7,['14'],['14']
161,4,4017,8,"['14', '14']","['14', '14']"
162,7,4018,0,['24'],['24']
163,8,4018,1,"['24', '26']","['24', '26']"
164,8,4018,2,['26'],['26']
165,3,4018,3,['16'],['16']
166,5,4018,4,"['24', '24']","['24', '24']"
167,7,4018,5,"['24', '24']","['24', '24']"
168,6,4018,6,"['14', '14']","['14', '14']"
169,4,4018,7,['14'],['14']
170,1,4018,8,"['16', '14']","['16', '14']"
171,4,4019,0,['14'],['14']
172,8,4019,1,"['24', '26']","['24', '26']"
173,7,4019,2,"['24', '24']","['24', '24']"
174,6,4019,3,"['24', '24']","['24', '24']"
175,1,4019,4,"['14', '16']","['14', '16']"
176,8,4019,5,['26'],['26']
177,3,4019,6,['16'],['16']
178,7,4019,7,['24'],['24']
179,5,4019,8,"['14', '14']","['14', '14']"
180,7,4020,0,['24'],['24']
181,8,4020,1,"['26', '24']","['26', '24']"
182,8,4020,2,['26'],['26']
183,5,4020,3,"['24', '24']","['24', '24']"
184,7,4020,4,"['24', '24']","['24', '24']"
185,4,4020,5,"['14', '14']","['14', '14']"
186,5,4020,6,['14'],['14']
187,1,4020,7,"['16', '14']","['16', '14']"
188,3,4020,8,['16'],['16']
189,5,4021,0,['14'],['14']
190,3,4021,1,['16'],['16']
191,8,4021,2,"['24', '26']","['24', '26']"
192,1,4021,3,"['16', '14']","['16', '14']"
193,8,4021,4,['26'],['26']
194,7,4021,5,"['24', '24']","['24', '24']"
195,4,4021,6,"['14', '14']","['14', '14']"
196,5,4021,7,"['24', '24']","['24', '24']"
197,7,4021,8,['24'],['24']
198,4,4022,0,['14'],['14']
199,7,4022,1,"['24', '24']","['24', '24']"
200,5,4022,2,"['24', '24']","['24', '24']"
201,8,4022,3,"['24', '26']","['24', '26']"
202,1,4022,4,"['16', '14']","['16', '14']"
203,8,4022,5,['26'],['26']
204,3,4022,6,['16'],['16']
205,6,4022,7,"['14', '14']","['14', '14']"
206,7,4022,8,['24'],['24']
207,1,4023,0,"['16', '14']","['16', '14']"
208,7,4023,1,"['24', '24']","['24', '24']"
209,2,4023,2,['26'],['26']
210,7,4023,3,['14'],['14']
211,8,4023,4,"['26', '24']","['26', '24']"
212,5,4023,5,"['14', '14']","['14', '14']"
213,3,4023,6,['16'],['16']
214,6,4023,7,['24'],['24']
215,6,4023,8,"['24', '24']","['24', '24']"
216,7,4024,0,"['24', '24']","['24', '24']"
217,6,4024,1,"['14', '14']","['14', '14']"
218,2,4024,2,['26'],['26']
219,3,4024,3,['16'],['16']
220,5,4024,4,"['24', '24']","['24', '24']"
221,8,4024,5,"['24', '26']","['24', '26']"
222,7,4024,6,['24'],['24']
223,4,4024,7,['14'],['14']
224,1,4024,8,"['16', '14']","['16', '14']"
225,1,4025,0,"['14', '16']","['14', '16']"
226,8,4025,1,"['26', '24']","['26', '24']"
227,8,4025,2,['26'],['26']
228,5,4025,3,"['14', '14']","['14', '14']"
229,7,4025,4,['24'],['24']
230,2,4025,5,['16'],['16']
231,4,4025,6,['14'],['14']
232,7,4025,7,"['24', '24']","['24', '24']"
233,6,4025,8,"['24', '24']","['24', '24']"
234,7,4026,0,['24'],['24']
235,7,4026,1,"['24', '24']","['24', '24']"
236,5,4026,2,['14'],['14']
237,8,4026,3,"['24', '26']","['24', '26']"
238,1,4026,4,"['16', '14']","['16', '14']"
239,4,4026,5,"['14', '14']","['14', '14']"
240,3,4026,6,['16'],['16']
241,2,4026,7,['26'],['26']
242,5,4026,8,"['24', '24']","['24', '24']"
243,8,4027,0,['26'],['26']
244,4,4027,1,"['14', '14']","['14', '14']"
245,7,4027,2,"['24', '24']","['24', '24']"
246,8,4027,3,"['24', '26']","['24', '26']"
247,2,4027,4,['16'],['16']
248,5,4027,5,"['24', '24']","['24', '24']"
249,1,4027,6,"['16', '14']","['16', '14']"
250,7,4027,7,['24'],['24']
251,6,4027,8,['14'],['14']
252,6,4028,0,"['14', '14']","['14', '14']"
253,5,4028,1,['14'],['14']
254,1,4028,2,"['14', '16']","['14', '16']"
255,7,4028,3,['24'],['24']
256,7,4028,4,"['24', '24']","['24', '24']"
257,2,4028,5,['26'],['26']
258,3,4028,6,['16'],['16']
259,5,4028,7,"['24', '24']","['24', '24']"
260,8,4028,8,"['24', '26']","['24', '26']"
261,1,4029,0,"['16', '14']","['16', '14']"
262,7,4029,1,"['24', '24']","['24', '24']"
263,5,4029,2,['14'],['14']
264,3,4029,3,['16'],['16']
265,6,4029,4,"['14', '14']","['14', '14']"
266,8,4029,5,"['24', '26']","['24', '26']"
267,7,4029,6,['24'],['24']
268,2,4029,7,['26'],['26']
269,4,4029,8,"['24', '24']","['24', '24']"
270,7,4030,0,['24'],['24']
271,5,4030,1,['14'],['14']
272,8,4030,2,"['26', '24']","['26', '24']"
273,1,4030,3,"['16', '14']","['16', '14']"
274,2,4030,4,['16'],['16']
275,8,4030,5,['26'],['26']
276,4,4030,6,"['14', '14']","['14', '14']"
277,5,4030,7,"['24', '24']","['24', '24']"
278,7,4030,8,"['24', '24']","['24', '24']"
279,4,4031,0,"['14', '14']","['14', '14']"
280,7,4031,1,"['24', '24']","['24', '24']"
281,3,4031,2,['16'],['16']
282,1,4031,3,"['14', '16']","['14', '16']"
283,5,4031,4,"['24', '24']","['24', '24']"
284,2,4031,5,['26'],['26']
285,7,4031,6,['24'],['24']
286,8,4031,7,"['26', '24']","['26', '24']"
287,6,4031,8,['14'],['14']
288,5,4032,0,['14'],['14']
289,8,4032,1,"['26', '24']","['26', '24']"
290,8,4032,2,['26'],['26']
291,1,4032,3,"['14', '16']","['14', '16']"
292,3,4032,4,['16'],['16']
293,4,4032,5,"['14', '14']","['14', '14']"
294,7,4032,6,['24'],['24']
295,5,4032,7,"['24', '24']","['24', '24']"
296,7,4032,8,"['24', '24']","['24', '24']"
297,3,4033,0,['16'],['16']
298,6,4033,1,"['14', '14']","['14', '14']"
299,2,4033,2,['26'],['26']
300,7,4033,3,"['24', '24']","['24', '24']"
301,7,4033,4,['24'],['24']
302,8,4033,5,"['24', '26']","['24', '26']"
303,5,4033,6,['14'],['14']
